title,description,component
TestJobHistory fails intermittently.,TestJobHistory fails intermittently with following error message: User log file file:/home/hudson/hudson-slave/workspace/Hadoop-Patch-vesta.apache.org/trunk/build/test/data/succeed/output1/_logs/history/localhost_1236132901323_job_200903040215_0001_hudson_test-job-succeed.recover does not exist  One of the hudson builds with failure : http://hudson.zones.apache.org/hudson/job/Hadoop-Patch-vesta.apache.org/41/testReport/org.apache.hadoop.mapred/TestJobHistory/testJobHistoryUserLogLocation/  I saw the failure in local machine also some times.,test
hadoop-port-range parameter should be optional.,"""__hadoopPortRange"" parameter has been made mandatory in hod. Deallocation is a problem if hadoop-port-range is specified only in command line and not included in hodrc. This parameter should be made optional.",contrib/hod
GenericOptionsParser should parse generic options even if they appear after Tool-specific options,"Currently, when GenericOptionsParser encounters an unrecognized option, it stops processing command-line arguments, and returns the rest to the specific Tool. This forces users to remember the order of arguments, and leads to errors such as following:    org.apache.commons.cli.UnrecognizedOptionException: Unrecognized option:  -Dmapred.reduce.tasks=4          at org.apache.commons.cli.Parser.processOption(Parser.java:368)          at org.apache.commons.cli.Parser.parse(Parser.java:185)          at org.apache.commons.cli.Parser.parse(Parser.java:70)          at  MyTool.run(MyTool.java.java:290)          at org.apache.hadoop.util.ToolRunner.run(ToolRunner.java:65)          at  MyTool.main(MyTool.java:19)    In Hadoop-streaming as well, -D parameters should appear before streaming-specific arguments, such as -mapper, -reducer etc.    If GenericOptionsParser were to scan the entire command-line, ignoring unrecognized (tool-specific) options, and returning all unrecognized options back to the tool, this problem would be solved.  ",util
Adding support for HDFS proxy,"Currently, HDFS doesn't authenticate users. The client simply tells HDFS who she is and HDFS will take her word for it. That makes it possible for HDFS proxy to access HDFS on behalf of a user - the proxy simply claims to be that user. Once we turn on authentication, the proxy can't do that without having user's credentials. We need a solution such that HDFS proxy can continue to access HDFS on behalf of users.",security
Misnamed function in ZlibCompressor.c,"All methods in ZlibCompressor.c are named like ""Java_org_apache_hadoop_io_compress_zlib_ZlibCompressor_METHODNAME""  There is one that is called: Java_org_apache_hadoop_io_compress_ZlibCompressor_setDictionary  Should be: Java_org_apache_hadoop_io_compress_zlib_ZlibCompressor_setDictionary",native
IO exception while executing hadoop fs -touchz  fileName  ,Stack trace while executing hadoop fs -touchz command .  [user@xyzhostname ~]$ hadoop fs -touchz test/new0LenFile2 09/03/05 23:31:21 WARN hdfs.DFSClient: Problem renewing lease for DFSClient_-661919204 java.io.IOException: Call to xxxxx-xxx.xxx.com/xxx.xxx.xxx.xxx:xxxx failed on local exception: java.nio.channels.ClosedByInterruptException  ,fs
"Wrong description of "" hadoop fs -test "" in FS Shell guide . ","Hadoop FS Shell Guide  documentation for -test command option -d  current description is.     "" -d check return 1 if the path is directory else return 0. ""   Where as it should be .        "" -d check to see if the path is Directory . Return 0 if true "" ",documentation
IPC client drops interrupted exceptions,The IPC client needless drops InterruptedException.,ipc
In hdfs /*/* globbing does not work,"With reference to Jira issue : 3497, we tried globbing /*/*. But it does not work. Output is given below.      bin/hadoop --config /tmp/cluster/ fs -lsr /  log4j:WARN No appenders could be found for logger (org.apache.hadoop.conf.Configuration).  log4j:WARN Please initialize the log4j system properly.  drwxr-xr-x   - karthv supergroup          0 2009-03-06 08:00 /a  drwxr-xr-x   - karthv supergroup          0 2009-03-06 08:00 /a/b  drwxr-xr-x   - karthv supergroup          0 2009-03-06 08:00 /a/b/c        bin/hadoop --config /tmp/cluster/ fs -lsr /*/*    Actually it is ""bin/hadoop --config /tmp/cluster/ fs -lsr Forward slash followed by star followed by forward slash followed by star""    output:  lsr: Cannot access /bin/arch: No such file or directory.  lsr: Cannot access /bin/ash: No such file or directory.  lsr: Cannot access /bin/ash.static: No such file or directory.  lsr: Cannot access /bin/awk: No such file or directory.  lsr: Cannot access /bin/basename: No such file or directory.  lsr: Cannot access /bin/bash: No such file or directory.  lsr: Cannot access /bin/bsh: No such file or directory.  lsr: Cannot access /bin/cat: No such file or directory.  ....  ....  ...    It keeps giving a long list like this without showing the results.",documentation
It should be posible to specify metadata for the output file produced by SequenceFile.Sorter.sort,None,io
Failing contrib tests should not stop the build,"If one or more of the unit tests in HdfsProxy fail, none of the subsequent test suites are run. All of the unit tests should run, regardless of previous projects' status.",test
Merge FileSystem.create and FileSystem.append,"Currently, when a user wants to modify a file, the user first calls exists() to know if this file is already there. And then uses create() or append() according to whether the file exists or not.  the code looks like:  {code}  FSDataOutputStream out_1 = null;  if (fs.exists(path_1))     out_1 = fs.append(path_1);  else     out_1 = fs.create(path_1);  {code}  . On the performace side,It involes two RPCs. On the easy-of-use side, it is not very convient in contrast to the traditional open interface.    It will more complicate if there is a overwrite parameter specified. I donot know whether there is a bug about 'overwrite' in 0.19, some times it takes a long time for overwrite creates to reture. So i make the write file code with overwrite param works like:  {code}  boolean exists = fs.exists(name);  if (overwrite) {      if (exists)         fs.delete(name, true);       this.out = fs.create(name, overwrite, bufferSize, replication,          blockSize, progress);       this.currentRowID = 0;   } else {     if (!exists)   this.out = fs.create(name, overwrite, bufferSize,       replication, blockSize, progress);     else   this.out = fs.append(name, bufferSize, progress);  {code}    Some code statements there are really redundant and not needed, especialy with the delete(). But without deleting first, the overwrite takes a long time to reture.    BTW, i will create another issue about the overwrite problem. If it is not a bug at all or a duplicate, someone please close it.    ",fs
HOD refactoring to ease integration with scheduler/resource managers other than torque,"Situation: HOD currently uses the pbsdsh (a distributed shell that works via Torque's TM interface to start remote processes) command to start processes on all nodes in the job.  This call is provided as part of a torqueInterface class that is meant to abstract interactions with the torque resource managers (RMs).  However, this is not functionality typically provided by other RMs, and is instead typically performed by an distributed command available on the HPC system, mpiexec, ssh, or site-specific scripts.  The specificity of pbsdsh to Torque makes writing HOD interfaces to other RMs somewhat difficult as it forces the implementer to choose the remote start method on a somewhat faulty per-RM basis.    Proposal: Refactor the torqueInterface and nodePool classes so that the choice of remote start method is available as a configuration option in hodrc.  This involves fairly simple changes to remove the pbsdsh command from the Scheduler class and addition configuration step of starting the appropriate remote start wrapper.  The selection of the nodePool class will be altered to allow dynamic loading of classes, so that new interfaces people choose to write will not require altering HOD code.  Provide remote start classes for pbsdsh, mpiexec, ssh, as well as custom scripts (sites often provide mpiexec wrappers that ensure proper selection of network interfaces, etc).  Provide interface classes to SGE and Moab, as well as updated Torque class.",contrib/hod
TaskTracker metrics are disabled,"HADOOP-3772 changed TaskTracker to use an instrumentation class, but did not update the default metrics class to the new API. TT metrics are currently discarded.",metrics
"default ""hadoop-metrics.properties"" doesn't mention ""rpc"" context","The ""hadoop-metrics.properties"" file that's shipped in conf/ has configuration settings for the metrics contexts ""dfs"", ""mapred"", and ""jvm"".  The (trivial) patch I'm proposing is to include default configuration for the ""rpc"" context as well.  RPC metrics may be useful, and it's difficult for a user to intuit otherwise that rpc metrics even exist.  (I stumbled upon them after exploring with JConsole and JMX.)","documentation,metrics"
javadoc warning: can't find restoreFailedStorage() in ClientProtocol,ant javadoc-dev  {noformat}    [javadoc] /home/tsz/hadoop/latest/src/hdfs/org/apache/hadoop/hdfs/DistributedFileSystem.java:399: warning - Tag @see: can't find restoreFailedStorage() in org.apache.hadoop.hdfs.protocol.ClientProtocol    [javadoc] /home/tsz/hadoop/latest/src/hdfs/org/apache/hadoop/hdfs/tools/DFSAdmin.java:412: warning - Tag @see: can't find restoreFailedStorage() in org.apache.hadoop.hdfs.protocol.ClientProtocol  {noformat},documentation
CSS Style Changes for Hadoop Doc Headers and Code,skinconf.xml file in /trunk/src/docs/src/documentation folder updated to include new CSS definitions for headers and code. Changes will apply to all hadoop docs. Improves readability.,documentation
Change Hadoop doc menu to sub-menus,"In directory Trunk\src\docs\src\documentation\content\xdocs ...    1. site.xml - changed doc menu to submenus    2. *.xml - for a few docs, changed titles to match submenus and made some minor edits ",documentation
Exposing Hadoop metrics via HTTP,"Implement a ""/metrics"" URL on the HTTP server of Hadoop daemons, to expose metrics data to users via their web browsers, in plain-text and JSON.",metrics
RunJar.unJar() should write the last modified time found in the jar entry to the uncompressed file,"For tools like jruby and jython, last modified times determine if a script gets recompiled.  Losing the correct last modified time causes some unfortunate recompilation race conditions when a job is running.  ",util
"calling new SequenceFile.Reader(...) leaves an InputStream open, if the given sequence file is broken",None,io
TestCLI fails,None,test
TestRecoveryManager fails wtih FileAlreadyExistsException,TestRecoveryManager always fails when I run core tests in a linux redhat machine. It does not fail on a Mac machine.    Testcase: testRecoveryManager took 55.842 sec          Caused an ERROR  Output directory file:XX/build/test/data/test-recovery-manager/output1 already exists  org.apache.hadoop.mapred.FileAlreadyExistsException: Output directory file:XX/build/test/data/test-recovery-manager/output1 already exists          at org.apache.hadoop.mapred.FileOutputFormat.checkOutputSpecs(FileOutputFormat.java:111)          at org.apache.hadoop.mapred.JobClient.submitJobInternal(JobClient.java:772)          at org.apache.hadoop.mapred.JobClient.submitJob(JobClient.java:730)          at org.apache.hadoop.mapred.TestRecoveryManager.testRecoveryManager(TestRecoveryManager.java:196)  ,test
"ReliabilityTest does not test lostTrackers, some times.","ReliabilityTest does not lose trackers, if tasktracker pid could not be obtained.  If command for the TaskTracker process is large, doing 'ps' and 'grep' does not return the pid of the process, thus it could not be suspended.  ",test
hadoop-env.sh still refers to java1.5,The example JAVA_HOME in conf/hadoop-env.sh still points to /usr/lib/j2sdk1.5-sun    better to have it set to point to wherever the sun java 6 RPM sticks Java ,conf
JobTracker metrics do not match job counters,"After one run of a 10 map, 3 reduce sort job, the mapred metrics report:  {noformat}  mapred.tasktracker: hostName=snip, sessionId=, mapTaskSlots=3, maps_running=0, \    reduceTaskSlots=3, reduces_running=0, tasks_completed=15, tasks_failed_ping=0, tasks_failed_timeout=0  mapred.jobtracker: hostName=snip, sessionId=, jobs_completed=1, jobs_submitted=1, \    maps_completed=10, maps_launched=12, reduces_completed=3, reduces_launched=3  {noformat}    After the second (w/ one manually killed reduce)  {noformat}  mapred.tasktracker: hostName=snip, sessionId=, mapTaskSlots=3, maps_running=0, \     reduceTaskSlots=3, reduces_running=0, tasks_completed=32, tasks_failed_ping=0, tasks_failed_timeout=0  mapred.jobtracker: hostName=snip, sessionId=, jobs_completed=2, jobs_submitted=2, \    maps_completed=20, maps_launched=24, reduces_completed=6, reduces_launched=8  {noformat}    The counters report the expected 10/3 map/reduce completions, the second job reporting a single failure.    # The {{maps_launched}} and {{reduces_launched}} counts are likely recording setup and cleanup tasks as well  # After being recorded among launched tasks, it looks like setup and cleanup are _not_ included among completed tasks  # {{tasks_completed}} on the TaskTracker should include only user tasks  # The {{reduces_launched}} count makes little sense to me. With three reduces launched per job and one failed, what's the other launched reduce counting?",metrics
Backup and checkpoint nodes should be documented,HDFS user guide should include description of backup and checkpoint nodes.,documentation
Add waiting/failed tasks to JobTracker metrics,"In addition to launched and completed tasks, it would be helpful if the number of waiting tasks and failed tasks were accumulated as metrics.",metrics
Typo in diskQuota help  documentation ,"Minor typo in setSpaceQuota help documentation displayed on CLI.   disk is misspelled .    -clrQuota <dirname>...<dirname>: Clear the quota for each directory <dirName>.    Best effort for the directory. with fault reported if    1. the directory does not exist or is a file, or    2. user is not an administrator.    It does not fault if the directory has no quota.  -setSpaceQuota <quota> <dirname>...<dirname>: Set the dik space quota <quota> for each directory <dirName>.    The directory quota is a long integer that puts a hard limit    on the number of names in the directory tree.    Quota can also be speciefied with a binary prefix for terabytes,    petabytes etc (e.g. 50t is 50TB, 5m is 5MB, 3p is 3PB).    Best effort for the directory, with faults reported if    1. N is not a positive integer, or    2. user is not an administrator, or    3. the directory does not exist or is a file, or    4. the directory would immediately exceed the new space quota.    Assigning to self.",documentation
Remove dependency of testcases on RESTART_COUNT,There are 2 usecases for this :  # RESTART_COUNT is not guaranteed to be flushed to fs.  # HADOOP-5394 plans to discontinue logging restart-count to job history file.,test
Ignore Eclipse helpers in Subversion and Git,The top-level directory {{.externalToolBuilders}} should be ignored by Subversion and Git.,build
Implement -setSpaceQuota and -clrSpaceQuota tests on directory using globbing  ,"TestCLI.java  for testing Command Line Interface is missing  tests for -setSpaceQuota on directory using globbing , and -clrSpaceQuota on directory using globbing . ",test
"On a fresh check out of 0.20 release branch, not able to run TestMapReduceLocal unit testcase, using ant","On a fresh check out of 0.20 release branch,   I did a run of TestMapReduceLocal with command ""ant test -Dtestcase=TestMapReduceLocal""  It failed. The logs under build/test/TEST-org.apache.hadoop.mapreduce.TestMapReduceLocal.txt says  that ~/build/test/data/out exists.    I removed the data directory itself and then tried again. it says the same error.    I tried by doing a ant clean first and then running this unit testcase. It gives the same error.  ",build
DataNodeCluster should create blocks with the same generation stamp as the blocks created in CreateEditsLog,"HADOOP-5384 makes DataNodeCluster to create blocks with generation stamp Block#GRANDFATHER_GENERATION_STAMP(0) so simuated datanodes do not crash NameNode any more. But there is still a problem. CreateEditLogs creates blocks with generation stamp GenerationStamp#FIRST_VALID_STAMP (1000). Because of the generation stamp mismatch, all injected blocks are marked as invalid when NameNode processes block reports.",test
A few improvements to DataNodeCluster,"DataNodeCluster is a great tool to simulate a large scale DFS cluster using a small set of machines. A few suggestions to improve this tool:  # DataNodeCluster uses MiniDFSCluster#startDataNode to start multiple instances of DataNode on one machine. MiniDFSCluster sets DataNode's address to be 127.0.0.1. We should allow to set its address to 0.0.0.0 so DataNodes in different machines could communicate.  # Currently the size of the blocks injected to DataNode and created in CreatedEditsLog is hardcoded as 10. It would be more convenient if this could be configurable. Also we need to make sure that both use the same block size.  # If the replication factor of blocks is larger than 1, currently a DataNode in DataNodeCluster will be injected blocks multiple times and therefore it sends block reports to NameNode multiple times. Initial block reports contain only a portion of its blocks and therefore may cause unnecessary block replications. It would be cleaner if only one block report with all its blocks is sent. ",test
Two minor problems in TestOverReplicatedBlocks,"- There is no apache license header.  - It uses a deprecated API, FSNamesystem.getFSNamesystem().",test
Build generates unchecked cast warnings from o.a.h.mapred.Task,HADOOP-5382 introduced unchecked cast warnings that should either be accommodated or suppressed.,build
Javadoc-dev ant target runs out of heap space,"The default configuration for the ant task javadoc-dev does not specify a maxmemory and, after churning for a while, fails with an OOM exception:  {noformat}  [javadoc] Constructing Javadoc information...  [javadoc] Standard Doclet version 1.6.0_07  [javadoc] Building tree for all the packages and classes...  [javadoc] java.lang.OutOfMemoryError: Java heap space  [javadoc]   java.util.LinkedHashMap.createEntry(LinkedHashMap.java:424)  [javadoc]   java.util.LinkedHashMap.addEntry(LinkedHashMap.java:406)  [javadoc]   java.util.HashMap.put(HashMap.java:385)  [javadoc]   sun.util.resources.OpenListResourceBundle.loadLookup(OpenListResourceBundle.java:118)  [javadoc]   sun.util.resources.OpenListResourceBundle.loadLookupTablesIfNecessary(OpenListResourceBundle.java:97)  [javadoc]   sun.util.resources.OpenListResourceBundle.handleGetObject(OpenListResourceBundle.java:58)  [javadoc]   sun.util.resources.TimeZoneNamesBundle.handleGetObject(TimeZoneNamesBundle.java:59)  [javadoc]   java.util.ResourceBundle.getObject(ResourceBundle.java:378)  [javadoc]   java.util.ResourceBundle.getObject(ResourceBundle.java:381)  [javadoc]   java.util.ResourceBundle.getStringArray(ResourceBundle.java:361)  [javadoc]   sun.util.TimeZoneNameUtility.retrieveDisplayNames(TimeZoneNameUtility.java:100)  [javadoc]   sun.util.TimeZoneNameUtility.retrieveDisplayNames(TimeZoneNameUtility.java:81)  [javadoc]   java.util.TimeZone.getDisplayNames(TimeZone.java:399)  [javadoc]   java.util.TimeZone.getDisplayName(TimeZone.java:350)  [javadoc]   java.util.Date.toString(Date.java:1025)  [javadoc]   com.sun.tools.doclets.formats.html.markup.HtmlDocWriter.today(HtmlDocWriter.java:337)  [javadoc]   com.sun.tools.doclets.formats.html.HtmlDocletWriter.printHtmlHeader(HtmlDocletWriter.java:281)  [javadoc]   com.sun.tools.doclets.formats.html.ClassWriterImpl.writeHeader(ClassWriterImpl.java:122)  [javadoc]   com.sun.tools.doclets.internal.toolkit.builders.ClassBuilder.buildClassHeader(ClassBuilder.java:164)  [javadoc]   sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)  [javadoc]   sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39)  [javadoc]   sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)  [javadoc]   java.lang.reflect.Method.invoke(Method.java:597)  [javadoc]   com.sun.tools.doclets.internal.toolkit.builders.ClassBuilder.invokeMethod(ClassBuilder.java:101)  [javadoc]   com.sun.tools.doclets.internal.toolkit.builders.AbstractBuilder.build(AbstractBuilder.java:90)  [javadoc]   com.sun.tools.doclets.internal.toolkit.builders.ClassBuilder.buildClassDoc(ClassBuilder.java:124)  [javadoc]   sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)  [javadoc]   sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39)  [javadoc]   sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)  [javadoc]   java.lang.reflect.Method.invoke(Method.java:597)  [javadoc]   com.sun.tools.doclets.internal.toolkit.builders.ClassBuilder.invokeMethod(ClassBuilder.java:101)  [javadoc]   com.sun.tools.doclets.internal.toolkit.builders.AbstractBuilder.build(AbstractBuilder.java:90)  {noformat}",build
hadoop command uses large JVM heap size,"Command used to determine JAVA_PLATFORM in bin/hadoop command does not set the heap size. The command uses default 1GB heap size. The tasks invoking hadoop command end up  using large heap size in streaming jobs. If the maximum memory that can be used by a task is restricted, this could result in map/reduce job failures.  ",build
Add link to distributions wiki page from releases page,None,documentation
Feature Designs and Test Plans templates in HTML,This Jira is to address an existing email thread which requested a Feature Design template and Test Plan template in HTML format.      Past Design Doc Examples  http://issues.apache.org/jira/secure/attachment/12348296/DFSUpgradeProposal3.html    Past Test Plan Examples  https://issues.apache.org/jira/secure/attachment/12373559/PermissionsTestPlan2.pdf  https://issues.apache.org/jira/secure/attachment/12363605/BlockCrcFeatureTestPlan.pdf  https://issues.apache.org/jira/secure/attachment/12351299/TestPlan-HdfsUpgrade.html   ,documentation
hadoop commands seem extremely slow in 0.20 branch,"hadoop dfs get, rm, -mkdir- ,cp, mv, ls, etc   mydir/fileA mydir/fileB mydir/fileC ...    seem to be very slow in 0.20 branch.    ",fs
Hadoop Streaming - GzipCodec,Hadoop Streaming - How do I generate output files with gzip format    This:  mapred.output.compression.codec=org.apache.hadoop.io.compress.GzipCode    Should be this:  mapred.output.compression.codec=org.apache.hadoop.io.compress.GzipCodec    ,documentation
Make ObjectWritable support EnumSet,"This is a demand for Hadoop-5438.   Also another small improvement is that i saw that in the beginning of readObject, it tries to get the class from PRIMITIVE_NAMES and then conf. Maybe it is better to add a direct load after them if the delaredClass is still null. Like this:  {code}  String className = UTF8.readString(in);      Class<?> declaredClass = PRIMITIVE_NAMES.get(className);      if (declaredClass == null) {        try {          declaredClass = conf.getClassByName(className);        } catch (Exception e) {        }      }            if(declaredClass == null) {        try {          declaredClass = Class.forName(className);        } catch (ClassNotFoundException e) {          throw new RuntimeException(""readObject can't find class "" + className, e);        }      }  {code}",io
create_write operation of nnbench is failing.,"create_write operation of nnbench (org.apache.hadoop.hdfs.NNBench) is not able to create control file. It is failing and displaying following error message:    Exception in thread ""main"" java.io.IOException: Mkdirs failed to create /<specified-path>/output/control          at org.apache.hadoop.hdfs.NNBench.createControlFiles(NNBench.java:154)          at org.apache.hadoop.hdfs.NNBench.main(NNBench.java:577)  ",test
Implement a pure Java CRC32 calculator,"We've seen a reducer writing 200MB to HDFS with replication = 1 spending a long time in crc calculation. In particular, it was spending 5 seconds in crc calculation out of a total of 6 for the write. I suspect that it is the java-jni border that is causing us grief.","performance,util"
TestBinaryPartitioner javac warnings.,This is introduced by HADOOP-5528.  All of them about using unparametrized types.,test
Final parameters in Configuration doesnt get serialized,Here are the steps to reproduce the bug  # Mark a parameter as _final_ in hadoop-site.xml  # Load the conf in some job  # Change the final parameter  # Write the conf to a file    The final parameter gets overridden upon serialization.,conf
TestCapacityScheduler fails with NPE,"Observed on Hudson:  {noformat}  java.lang.NullPointerException    org.apache.hadoop.mapred.JobInProgress.terminateJob(JobInProgress.java:2117)    org.apache.hadoop.mapred.JobInProgress.terminate(JobInProgress.java:2153)    org.apache.hadoop.mapred.JobInProgress.kill(JobInProgress.java:2221)    org.apache.hadoop.mapred.TestCapacityScheduler$FakeTaskTrackerManager.killJob(TestCapacityScheduler.java:359)    org.apache.hadoop.mapred.CapacityTaskScheduler.killJobIfInvalidRequirements(CapacityTaskScheduler.java:1431)    org.apache.hadoop.mapred.CapacityTaskScheduler.jobAdded(CapacityTaskScheduler.java:1463)    org.apache.hadoop.mapred.JobQueuesManager.jobAdded(JobQueuesManager.java:183)    org.apache.hadoop.mapred.TestCapacityScheduler$FakeTaskTrackerManager.submitJob(TestCapacityScheduler.java:387)    org.apache.hadoop.mapred.TestCapacityScheduler.submitJob(TestCapacityScheduler.java:625)    org.apache.hadoop.mapred.TestCapacityScheduler.testHighMemoryJobWithInvalidRequirements(TestCapacityScheduler.java:1992)  {noformat}    This was introduced by HADOOP-5565. FakeJobInProgress doesn't pass a JobTracker reference to the subtype cstr, so calling kill() derefs the null JT field.",test
Some c++ scripts are not chmodded before ant execution,"Before executing a lot of the configure scripts, there are lines like:      <chmod file=""${c++.libhdfs.src}/configure"" perm=""ugo+x""/>    that ensure the configure script is executable (since they seem to not always make it into the distribution in this form).    These chmods are missing for Pipes and C++ Utils which makes the build fail.",build
change S3Exception to checked exception,Currently the S3 filesystems can throw unchecked exceptions (S3Exception) which are not declared in the interface of FileSystem. These aren't caught by the various callers and can cause unpredictable behavior. IOExceptions are caught by most users of FileSystem since it is declared in the interface and hence is handled better.    I propose we modify S3Exception to extend IOException.,fs/s3
Spec file and SRPM for building a Hadoop-0.19.1 RPM,"I like the idea of Cloudera's RPMs, in that packages are convenient and the boot scripts are very handy, but they are for a patched 0.18.3 and include other stuff.  Here I offer a spec file for 0.19.1 without extra cruft.  It is essentially the spec from Cloudera's RPM with suitable edits.",build
make chukwa log4j configuration more transparent from hadoop,"The current log4j appender retro fitting to hadoop is less than ideal. In theory, the log4j appender configuration should be changable by the environment scripts.  This ticket is to track any changes required to make hadoop log4j configuration more portable.",build
add a Pingable interface with a Ping() method for checking the health of things,"I'm filing this as part of the plan for getting HADOOP-3628 checked in: separate Ping() from everything else so that it can go in later/separately, and apply to more bits of the code than just the node root threads . The various helper classes that they use underneath could be marked as Pingable so that the health check operations could move the workload down.    Use cases  # Pingable Filesystem and MapReduce services: namenode, datanode, job-tracker, task-tracker, etc  # Eventually : Pingable pig/cascading,HBase services  # Implementation of the ping operation in the services by calling their in-JVM classes and aggregating the results  # in JVM-health checks (JMX operations etc)  # Over RMI/REST Smartfrog health checks (my use case)  # Thrift and other wire format health checks   # Public HTTP checks that return an error code with XML or JSON output.   # Command line tools (that could check the HTTP pages)  # Make it easy to test    The current HADOOP-3628 ping() operation includes the service state from the proposed service lifecycle, and a list of nested exceptions; it only works in -VM. To work in more use cases  # It needs to move to a serialized exception format - the ThrowableWritable of HADOOP-5348.  # We need to consider how best to return the far-end's state.     I'm going offline for two weeks; here is somewhere for people to add their thoughts and work for me when I get back.",util
Create target for 10 minute patch test build,I think we should create an ant target that performs a smoke test on the patched system to enable developers to have faster turn around time on developing patches than the 3 hour unit tests that we currently have.,test
distributed cache doesn't work with other distributed file systems,"Currently the DistributedCache does a check to see if the file to be included is an HDFS URI. If the URI isn't in HDFS, it returns the default filesystem. This prevents using other distributed file systems -- such as s3, s3n, or kfs  -- with distributed cache. When a user tries to use one of those filesystems, it reports an error that it can't find the path in HDFS.",filecache
Update junit eclipse classpath,"Since the junit library is changed, the corresponding eclipse classpath should be updated.",build
Allow ServicePlugins to hook callbacks into key service events,"HADOOP-5257 added the ability for NameNode and DataNode to start and stop ServicePlugin implementations at NN/DN start/stop. However, this is insufficient integration for some common use cases.    We should add some functionality for Plugins to subscribe to events generated by the service they're plugging into. Some potential hook points are:    NameNode:    - new datanode registered    - datanode has died    - exception caught    - etc?    DataNode:    - startup    - initial registration with NN complete (this is important for HADOOP-4707 to sync up datanode.dnRegistration.name with the NN-side registration)    - namenode reconnect    - some block transfer hooks?    - exception caught    I see two potential routes for implementation:    1) We make an enum for the types of hookpoints and have a general function in the ServicePlugin interface. Something like:    {code:java}  enum HookPoint {    DN_STARTUP,    DN_RECEIVED_NEW_BLOCK,    DN_CAUGHT_EXCEPTION,   ...  }    void runHook(HookPoint hp, Object value);  {code}    2) We make classes specific to each ""pluggable"" as was originally suggested in HADDOP-5257. Something like:    {code:java}  class DataNodePlugin {    void datanodeStarted() {}    void receivedNewBlock(block info, etc) {}    void caughtException(Exception e) {}    ...  }  {code}    I personally prefer option (2) since we can ensure plugin API compatibility at compile-time, and we avoid an ugly switch statement in a runHook() function.    Interested to hear what people's thoughts are here.",util
After HADOOP-4920 we need a place to checkin releasenotes.html,Since HADOOP-4920 we no longer checkin our built documentation.  This means there is no longer a place to put releasenotes.html since HowToRelease wiki dictated that releasenotes.html be checked in to docs directory as part of the release process.    I'll create a build.xml patch that assumes release notes are in src/docs/releasenotes.html and copies them to build/docs/releasenotes.html,build
TestJobHistory fails if /tmp/_logs is not writable to. Testcase should not depend on /tmp,"TestJobHistory sets /tmp as hadoop.job.history.user.location to check if the history file is created in that directory or not. If /tmp/_logs is already created by some other user, this test will fail because of not having write permission.",test
Not able to generate gridmix.jar on already compiled version of hadoop,"Not able to generate gridmix.jar for gridmix2 on compiled version of hadoop (which is untarred  from hadoop binary) as builld.xml tries to find build directory in hadoop-home but ""build"" directory is not present on this path.    Following error is displayed :  Buildfile: build.xml    init:      [mkdir] Created dir: <hadoop-home>/src/benchmarks/gridmix2/build      [mkdir] Created dir: <hadoop-home>/src/benchmarks/gridmix2/dist    compile:      [javac] Compiling 3 source files to <hadoop-home>/src/benchmarks/gridmix2/build    BUILD FAILED  <hadoop-home>/src/benchmarks/gridmix2/build.xml:28: <hadoop-home>/build not found.",benchmarks
TestReplicationPolicy.<init> fails on java.net.BindException,java.net.BindException: Address already in use    sun.nio.ch.Net.bind(Native Method)    sun.nio.ch.ServerSocketChannelImpl.bind(ServerSocketChannelImpl.java:119)    sun.nio.ch.ServerSocketAdaptor.bind(ServerSocketAdaptor.java:59)    org.mortbay.jetty.nio.SelectChannelConnector.open(SelectChannelConnector.java:216)    org.apache.hadoop.http.HttpServer.start(HttpServer.java:422)    org.apache.hadoop.hdfs.server.namenode.NameNode.startHttpServer(NameNode.java:330)    org.apache.hadoop.hdfs.server.namenode.NameNode.activate(NameNode.java:277)    org.apache.hadoop.hdfs.server.namenode.NameNode.initialize(NameNode.java:269)    org.apache.hadoop.hdfs.server.namenode.NameNode.<init>(NameNode.java:373)    org.apache.hadoop.hdfs.server.namenode.NameNode.<init>(NameNode.java:367)    org.apache.hadoop.hdfs.server.namenode.TestReplicationPolicy.<clinit>(TestReplicationPolicy.java:58)    java.lang.Class.forName0(Native Method)    java.lang.Class.forName(Class.java:169)    org.apache.tools.ant.taskdefs.optional.junit.JUnitTestRunner.run(JUnitTestRunner.java:335)    org.apache.tools.ant.taskdefs.optional.junit.JUnitTestRunner.launch(JUnitTestRunner.java:911)    org.apache.tools.ant.taskdefs.optional.junit.JUnitTestRunner.main(JUnitTestRunner.java:768)    Looks that it was caused by another running unit test. They used the same http server port.,test
Counter for S3N Read Bytes does not work,Counter for S3N Read Bytes does not work on trunk. On 0.18 branch neither read nor write byte counters work. ,fs/s3
Validate data passed through TestReduceFetch,"While TestReduceFetch verifies the reduce semantics for reducing from in-memory segments, it does not validate the data it reads. Data corrupted during the merge will not be detected.",test
Eclipse templates fail out of the box; need updating,"The Hadoop templates, when run ""out of the box"" have Eclipse build ""problems"".  I've produced a small patch that fixes it.",build
